Culture,k,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Mallows (phi=0.7),4,k-Median Rule,0.2,0.7,1.6,2.5,3.6,4.9,6.6,8.0,10.5,13.6,17.1,20.8,24.8,29.0,33.6,37.7,43.1,48.5,54.2,60.6,65.6,71.3,75.6,79.6,84.6,88.7,92.6,95.5,97.2,97.9,98.4,99.1,99.3,99.8,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),4,k-Median-Shapley,1.8,2.7,3.4,3.7,5.3,6.4,7.9,8.5,10.7,12.7,15.2,17.5,21.1,23.3,25.7,30.2,35.6,39.4,43.4,48.2,52.4,60.1,62.3,65.0,66.1,67.2,70.6,69.9,71.6,74.4,78.1,82.4,87.7,91.7,96.0,97.2,99.1,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Plackett-Luce,2,Evaluative Voting,0.0,0.0,0.1,0.4,0.5,0.5,1.1,1.5,2.5,3.3,4.3,6.3,8.7,11.2,13.3,16.0,19.6,23.3,26.1,29.2,34.0,38.5,42.8,47.0,51.6,57.0,61.7,66.8,71.4,75.7,79.6,84.4,87.2,90.5,92.6,95.1,96.8,98.2,99.3,99.7,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Plackett-Luce,2,k-Median Rule,0.0,0.8,1.1,1.9,2.3,2.9,3.0,4.0,4.6,5.5,6.5,8.0,9.4,11.5,13.0,14.0,15.5,17.9,20.1,22.2,24.0,26.3,29.6,31.3,34.8,38.0,41.8,44.1,48.2,52.9,56.1,60.3,64.2,68.1,72.3,76.0,78.8,82.3,85.4,87.9,90.3,93.1,94.7,96.5,97.4,99.0,99.4,99.9,100.0
Plackett-Luce,2,k-Median-Shapley,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.4,0.7,0.9,0.9,0.6,0.7,1.0,1.2,1.4,1.6,1.4,1.6,2.2,2.9,3.4,4.7,6.1,7.4,9.1,11.9,13.8,16.9,19.3,21.6,25.8,28.3,33.1,35.6,40.1,46.1,52.9,60.0,66.5,73.3,80.1,86.0,91.8,96.1,99.0
Plackett-Luce,3,Evaluative Voting,0.2,0.7,1.7,3.1,3.9,5.9,8.8,11.1,14.5,17.0,20.4,23.9,27.3,31.4,35.0,39.1,43.1,46.4,49.6,54.0,58.8,63.2,66.4,70.2,74.4,77.4,81.2,83.8,86.9,90.3,92.0,93.5,94.9,96.2,97.0,98.3,99.3,99.6,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Plackett-Luce,3,k-Median Rule,0.0,2.4,3.5,5.6,7.1,8.7,9.7,11.9,12.6,14.9,17.1,20.2,22.8,25.7,27.8,30.6,33.6,37.0,38.8,41.5,44.8,46.4,49.5,52.5,56.9,60.3,64.8,66.3,69.6,71.8,73.9,76.8,79.3,82.0,84.0,86.0,87.9,90.1,91.7,93.5,94.8,96.3,97.4,98.4,99.1,99.8,99.8,100.0,100.0
Plackett-Luce,3,k-Median-Shapley,0.3,0.2,0.6,0.9,1.2,1.2,1.4,1.6,2.1,3.1,3.8,5.1,5.5,6.9,8.3,9.4,10.8,11.3,12.3,12.6,13.0,13.6,13.8,15.7,15.3,17.0,18.3,19.5,23.3,25.2,28.2,30.8,35.4,38.7,43.8,49.1,53.6,57.8,62.7,65.5,69.9,75.0,79.3,84.9,89.4,93.1,95.9,98.4,99.5
Plackett-Luce,4,Evaluative Voting,4.7,9.9,15.7,20.3,24.8,29.9,34.0,38.5,43.0,46.2,50.3,54.7,56.8,60.4,63.8,67.1,69.8,73.2,75.9,78.1,80.7,82.9,85.5,87.6,89.8,91.5,93.5,95.1,96.1,97.4,97.7,98.2,98.7,99.2,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Plackett-Luce,4,k-Median Rule,2.8,7.5,11.0,14.9,19.4,22.6,25.3,29.5,33.3,36.3,38.6,41.7,45.0,47.7,51.3,53.8,57.4,60.1,63.0,65.3,67.2,68.8,71.4,73.8,75.7,77.6,79.4,81.8,83.5,85.2,85.9,88.3,89.6,91.8,92.9,94.0,94.7,95.8,96.4,97.5,97.8,98.3,98.9,99.6,99.9,100.0,100.0,100.0,100.0
Plackett-Luce,4,k-Median-Shapley,3.0,3.7,6.0,6.8,7.7,9.2,10.5,13.0,13.4,16.4,17.3,18.5,21.2,22.9,25.0,27.6,29.7,31.2,33.0,34.1,35.7,38.0,39.7,42.9,44.6,46.4,49.3,52.6,54.9,57.0,59.4,63.2,66.4,69.6,72.1,76.5,79.3,81.4,83.5,85.7,88.4,90.5,92.3,94.3,95.3,97.3,98.3,99.3,99.9
Polya Urn (alpha=0.2),2,Evaluative Voting,0.0,0.2,0.3,0.4,1.0,2.0,3.1,4.3,5.5,7.8,11.4,15.6,18.9,23.1,27.6,32.7,38.3,43.6,49.2,53.9,60.0,64.7,71.6,77.1,81.2,84.5,87.4,89.8,92.4,93.9,96.2,97.5,98.0,98.9,99.5,99.6,99.7,99.8,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Polya Urn (alpha=0.2),2,k-Median Rule,0.0,1.6,1.8,3.8,3.4,6.0,6.2,9.5,9.6,11.4,12.8,16.1,17.1,20.5,22.0,25.0,26.7,29.9,31.0,34.8,37.2,41.9,44.8,47.7,50.6,54.8,59.2,63.5,65.9,70.2,72.2,75.6,78.9,81.3,84.1,87.6,90.4,92.0,93.9,95.9,97.0,97.8,98.5,99.3,99.8,99.9,99.9,99.9,99.9
Polya Urn (alpha=0.2),2,k-Median-Shapley,0.5,1.1,1.6,1.6,1.9,2.2,3.7,3.9,4.6,5.3,6.9,8.0,8.8,9.6,11.8,12.9,14.4,16.4,17.4,19.2,20.7,22.8,25.8,27.2,29.4,32.1,36.1,38.4,40.4,43.1,46.6,50.3,54.1,56.2,60.2,64.8,68.3,72.9,77.9,79.9,83.4,87.3,89.5,92.1,94.3,96.6,97.9,98.5,99.2
Polya Urn (alpha=0.2),3,Evaluative Voting,0.7,1.3,3.0,4.9,7.2,12.1,16.4,21.4,26.4,30.8,36.5,42.0,46.4,52.3,57.7,62.9,67.3,71.5,76.9,80.6,84.5,87.1,89.8,91.3,94.1,95.4,96.8,97.7,98.5,99.2,99.6,99.7,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Polya Urn (alpha=0.2),3,k-Median Rule,0.1,2.6,3.5,7.3,7.5,10.8,11.8,16.2,17.9,21.2,23.9,27.8,30.0,34.9,37.5,42.1,44.5,47.9,50.5,53.7,56.9,60.7,64.4,67.5,70.6,73.9,77.2,79.6,82.0,85.2,87.2,88.9,90.7,92.5,93.9,95.3,96.8,97.3,97.9,98.3,98.8,99.4,99.6,99.8,99.9,99.9,99.9,99.9,100.0
Polya Urn (alpha=0.2),3,k-Median-Shapley,1.6,2.8,4.6,5.2,6.7,6.9,10.1,11.5,13.1,14.3,17.0,19.3,20.5,22.4,24.6,27.3,30.5,33.3,35.4,37.8,40.5,42.5,45.0,47.7,50.9,53.7,57.1,59.9,62.8,65.6,68.5,70.7,74.5,76.6,80.3,82.6,83.9,87.0,89.2,91.3,93.3,95.6,96.6,97.9,98.4,99.1,99.4,99.6,99.8
Polya Urn (alpha=0.2),4,Evaluative Voting,8.3,15.5,23.6,29.8,36.6,44.3,49.8,56.1,60.5,66.1,70.2,75.6,78.9,82.8,85.6,88.3,90.8,92.8,94.2,95.6,96.8,98.0,98.9,99.3,99.5,99.6,99.6,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Polya Urn (alpha=0.2),4,k-Median Rule,4.7,9.8,15.2,19.7,23.6,27.2,32.1,36.4,41.0,45.1,48.6,51.4,54.7,59.0,61.3,65.9,69.0,71.5,73.5,76.2,79.1,81.9,83.6,85.1,87.1,89.4,90.9,92.2,93.3,94.9,96.3,96.8,97.9,98.4,98.6,99.0,99.3,99.4,99.6,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Polya Urn (alpha=0.2),4,k-Median-Shapley,5.7,9.2,14.2,17.2,22.1,24.1,29.5,31.8,35.1,36.0,40.2,43.4,44.6,47.6,50.4,52.3,55.5,57.1,60.4,63.4,66.6,68.0,71.3,73.4,75.5,77.4,80.6,81.8,84.4,86.4,88.1,89.6,91.4,92.5,94.3,95.1,95.8,96.6,97.4,98.2,98.2,99.1,99.1,99.5,99.7,99.9,99.9,99.9,99.9
