Culture,k,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Plackett-Luce,3,Evaluative Voting,0.2,0.7,1.7,3.1,3.9,5.9,8.8,11.1,14.5,17.0,20.4,23.9,27.3,31.4,35.0,39.1,43.1,46.4,49.6,54.0,58.8,63.2,66.4,70.2,74.4,77.4,81.2,83.8,86.9,90.3,92.0,93.5,94.9,96.2,97.0,98.3,99.3,99.6,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Plackett-Luce,3,k-Median Rule,6.2,8.3,13.4,15.0,21.0,22.8,27.0,28.9,32.7,34.6,38.7,40.3,43.6,44.4,46.6,48.3,51.4,53.2,55.1,57.1,58.9,60.0,62.4,64.7,67.6,70.0,72.0,73.5,75.2,77.1,78.2,80.2,82.8,84.8,86.6,88.3,89.7,91.8,93.5,95.2,96.2,97.2,97.9,98.7,99.3,99.8,99.8,100.0,100.0
Plackett-Luce,3,k-Median-Shapley,5.1,6.2,8.8,7.4,9.7,10.6,11.9,13.3,14.5,14.9,16.2,17.6,17.1,17.8,18.8,19.9,20.3,21.1,21.7,21.0,22.2,22.5,23.8,25.0,25.3,26.8,27.4,29.3,31.6,33.6,36.3,39.2,43.5,46.1,51.4,55.0,58.8,62.8,67.8,68.9,73.4,78.1,82.0,86.9,90.8,94.4,96.7,98.9,99.6
Plackett-Luce,4,Evaluative Voting,4.7,9.9,15.7,20.3,24.8,29.9,34.0,38.5,43.0,46.2,50.3,54.7,56.8,60.4,63.8,67.1,69.8,73.2,75.9,78.1,80.7,82.9,85.5,87.6,89.8,91.5,93.5,95.1,96.1,97.4,97.7,98.2,98.7,99.2,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Plackett-Luce,4,k-Median Rule,2.8,7.5,11.0,14.9,19.4,22.6,25.3,29.5,33.3,36.3,38.6,41.7,45.0,47.7,51.3,53.8,57.4,60.1,63.0,65.3,67.2,68.8,71.4,73.8,75.7,77.6,79.4,81.8,83.5,85.2,85.9,88.3,89.6,91.8,92.9,94.0,94.7,95.8,96.4,97.5,97.8,98.3,98.9,99.6,99.9,100.0,100.0,100.0,100.0
Plackett-Luce,4,k-Median-Shapley,3.0,3.7,6.0,6.8,7.7,9.2,10.5,13.0,13.4,16.4,17.3,18.5,21.2,22.9,25.0,27.6,29.7,31.2,33.0,34.1,35.7,38.0,39.7,42.9,44.6,46.4,49.3,52.6,54.9,57.0,59.4,63.2,66.4,69.6,72.1,76.5,79.3,81.4,83.5,85.7,88.4,90.5,92.3,94.3,95.3,97.3,98.3,99.3,99.9
Polya Urn (alpha=0.2),2,Evaluative Voting,0.0,0.2,0.3,0.4,1.0,2.0,3.1,4.3,5.5,7.8,11.4,15.6,18.9,23.1,27.6,32.7,38.3,43.6,49.2,53.9,60.0,64.7,71.6,77.1,81.2,84.5,87.4,89.8,92.4,93.9,96.2,97.5,98.0,98.9,99.5,99.6,99.7,99.8,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Polya Urn (alpha=0.2),2,k-Median Rule,6.3,8.4,13.3,15.4,21.5,24.3,28.8,31.1,36.1,38.1,42.6,44.1,48.3,49.9,53.3,55.7,58.1,59.8,61.4,63.5,66.1,68.2,71.5,72.6,75.3,77.5,80.0,82.4,84.2,86.4,87.1,88.8,89.8,90.9,92.1,94.0,95.7,96.4,97.1,98.1,98.8,98.9,99.3,99.6,99.9,100.0,100.0,100.0,100.0
Polya Urn (alpha=0.2),2,k-Median-Shapley,6.8,9.3,14.5,14.5,18.9,18.4,23.4,24.3,28.2,28.9,32.8,33.3,34.9,36.2,39.6,41.2,43.5,44.3,45.6,46.0,49.7,51.4,54.9,54.8,58.5,60.4,63.9,65.3,67.6,69.8,71.9,73.2,76.0,78.1,79.8,82.6,85.0,86.2,89.0,90.2,91.6,93.4,95.5,97.2,97.9,99.4,99.4,99.5,99.8
Polya Urn (alpha=0.2),3,Evaluative Voting,0.7,1.3,3.0,4.9,7.2,12.1,16.4,21.4,26.4,30.8,36.5,42.0,46.4,52.3,57.7,62.9,67.3,71.5,76.9,80.6,84.5,87.1,89.8,91.3,94.1,95.4,96.8,97.7,98.5,99.2,99.6,99.7,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Polya Urn (alpha=0.2),3,k-Median Rule,5.6,8.0,13.8,17.3,22.3,24.4,29.5,33.0,37.8,40.5,44.5,47.3,51.1,54.1,57.5,59.8,63.0,65.5,68.3,70.4,72.2,73.8,77.8,79.6,82.2,84.2,86.3,87.2,89.4,91.4,93.2,94.3,95.2,95.6,96.5,97.3,97.9,98.1,98.8,98.9,99.2,99.5,99.7,99.9,99.9,99.9,99.9,99.9,100.0
Polya Urn (alpha=0.2),3,k-Median-Shapley,7.0,8.9,14.8,16.9,20.7,22.0,26.9,29.3,33.7,35.0,38.8,40.4,42.1,42.3,45.2,47.7,50.3,52.6,55.2,56.2,58.9,60.0,62.4,64.2,66.6,68.2,70.5,72.3,75.2,77.7,79.6,80.6,84.0,85.1,87.4,89.5,90.4,91.7,92.8,94.6,95.7,97.5,98.2,99.0,99.1,99.5,99.6,99.7,99.9
Polya Urn (alpha=0.2),4,Evaluative Voting,8.3,15.5,23.6,29.8,36.6,44.3,49.8,56.1,60.5,66.1,70.2,75.6,78.9,82.8,85.6,88.3,90.8,92.8,94.2,95.6,96.8,98.0,98.9,99.3,99.5,99.6,99.6,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Polya Urn (alpha=0.2),4,k-Median Rule,4.7,9.8,15.2,19.7,23.6,27.2,32.1,36.4,41.0,45.1,48.6,51.4,54.7,59.0,61.3,65.9,69.0,71.5,73.5,76.2,79.1,81.9,83.6,85.1,87.1,89.4,90.9,92.2,93.3,94.9,96.3,96.8,97.9,98.4,98.6,99.0,99.3,99.4,99.6,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Polya Urn (alpha=0.2),4,k-Median-Shapley,5.7,9.2,14.2,17.2,22.1,24.1,29.5,31.8,35.1,36.0,40.2,43.4,44.6,47.6,50.4,52.3,55.5,57.1,60.4,63.4,66.6,68.0,71.3,73.4,75.5,77.4,80.6,81.8,84.4,86.4,88.1,89.6,91.4,92.5,94.3,95.1,95.8,96.6,97.4,98.2,98.2,99.1,99.1,99.5,99.7,99.9,99.9,99.9,99.9
